refs,footprint,value,spn1,supplier1,spn2,supplier2,price
F0,Capacitors_SMD:C_0603_HandSoldering,0.01uF,80-C0603C103J3GEAUTO,mouser,,,0
F1,Capacitors_SMD:C_0603_HandSoldering,0.1uF,81-GRM39X104K50D,mouser,,,0
F2,Capacitors_SMD:C_0603_HandSoldering,100nF,81-GRM39X104K50D,mouser,,,0
F3,Capacitors_SMD:C_0603_HandSoldering,100pF,81-GRM1885C2A101JA01,mouser,,,0
F4,Capacitors_SMD:C_0603_HandSoldering,10uF,81-GRM188R60J106ME47,mouser,,,0
F5,Capacitors_SMD:C_0603_HandSoldering,18pF,581-06035A180J,mouser,,,0
F6,Capacitors_SMD:C_0603_HandSoldering,1uF,963-UMK107BJ105KA-T,mouser,,,0
F7,Capacitors_SMD:C_0603_HandSoldering,1uF 10V X5R,581-0603YD105K,mouser,,,0
F8,Capacitors_SMD:C_0603_HandSoldering,22pF,581-06035A220J,mouser,,,0
F9,Capacitors_SMD:C_0603_HandSoldering,4.7nF,80-C0603C472K9R,mouser,,,0
F10,Capacitors_SMD:C_0603_HandSoldering,4.7uF,581-0603ZD475MAT2A,mouser,,,0
F11,Capacitors_SMD:C_0603_HandSoldering,4.7uF 10V X5R,581-0603ZD475MAT2A,mouser,,,0
F12,Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm,TSL2591,985-TSL25911FN,mouser,,,0
F13,Housings_DFN_QFN:DFN-8-1EP_3x2mm_Pitch0.5mm,MAX1704XX,700-MAX17043G+U,mouser,,,3.34
F14,Housings_DFN_QFN:DFN-8_2x2mm_Pitch0.5mm,SHT31,403-SHT31-DIS-B,mouser,,,0
F15,Resistors_SMD:R_0603_HandSoldering,0.1uF,81-GRM39X104K50D,mouser,,,0
F16,Resistors_SMD:R_0603_HandSoldering,1.5K,603-RC0603FR-071K5L,mouser,,,0
F17,Resistors_SMD:R_0603_HandSoldering,100k,603-RC0603FR-07100KL,mouser,,,0.1
